"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.07","0.062",".",".",".","17","8.4",".",".","."
"01027","Clay County, AL",".",".",".",".",".",".",".",".",".","16","8",".",".","."
"01033","Colbert County, AL",".",".",".",".","0.07","0.059",".",".",".","17","8.6",".",".","."
"01049","DeKalb County, AL",".",".",".",".","0.07","0.062",".",".",".","19","9",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.07","0.06",".",".",".","19","9.2",".",".","."
"01069","Houston County, AL",".",".",".",".","0.07","0.061",".",".",".","18","8.3",".",".","."
"01073","Jefferson County, AL","5.6","1.7","46","12","0.08","0.067","29","5","1","24","11.9","58","24","0.02"
"01089","Madison County, AL",".",".",".",".","0.08","0.064",".",".",".","16","8.6","37","15","."
"01097","Mobile County, AL",".",".",".",".","0.07","0.062","18","4","1","17","8.3","40","21","."
"01101","Montgomery County, AL",".",".",".",".","0.07","0.061",".",".",".","21","9.5","27","15","."
"01103","Morgan County, AL",".",".",".",".","0.07","0.06",".",".",".","16","8.6",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.26"
"01113","Russell County, AL",".",".",".",".","0.07","0.063",".",".",".","22","10",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.08","0.067",".",".",".","17","9",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"01121","Talladega County, AL",".",".",".",".",".",".",".",".",".","17","9.2",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.07","0.059","8","1","0","20","9",".",".","."
"02020","Anchorage Borough, AK","5.2","4",".",".",".",".",".",".",".","16","5","120","23","."
"02068","Denali Borough, AK",".",".",".",".","0.05","0.051",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","5.9","3.2",".",".","0.05","0.048","37","24","7","122","29.1","95","22","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","23","5.9","24","8","."
"02122","Kenai Peninsula Borough, AK",".",".",".",".",".",".",".",".",".","8","0.9","134","19","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".",".",".",".",".",".","28","6.4","84","13","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".",".",".","54","15","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.072",".",".",".","18","7.2","218","37","."
"04005","Coconino County, AZ",".",".",".",".","0.08","0.069",".",".",".","10","5.4","27","16","."
"04007","Gila County, AZ",".",".",".",".","0.09","0.072","256","43","7",".",".","144","42","0.12"
"04012","La Paz County, AZ",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"04013","Maricopa County, AZ","4.2","2.7","63","25","0.1","0.079","9","4","1","29","10.6","280","43","0.04"
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".","14","3.9","86","21","."
"04017","Navajo County, AZ",".",".",".",".","0.08","0.069",".",".",".",".",".","46","15","."
"04019","Pima County, AZ","1.8","1.1","44","11","0.08","0.074","7","1","0","16","6.8","363","40","0"
"04021","Pinal County, AZ",".",".",".",".","0.09","0.073",".",".",".","42","15.7","510","96","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","28","9.9","174","46","."
"04025","Yavapai County, AZ",".",".",".",".","0.07","0.065",".",".",".","8","4.2","27","12","."
"04027","Yuma County, AZ",".",".",".",".","0.09","0.073",".",".",".","27","8.8","228","41","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","22","9.5",".",".","."
"05003","Ashley County, AR",".",".",".",".",".",".",".",".",".","21","9.1",".",".","."
"05019","Clark County, AR",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"05035","Crittenden County, AR",".",".","39","8","0.08","0.067",".",".",".","22","10",".",".","."
"05051","Garland County, AR",".",".",".",".",".",".",".",".",".","20","9.5",".",".","."
"05067","Jackson County, AR",".",".",".",".",".",".",".",".",".","21","9.1",".",".","."
"05101","Newton County, AR",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"05113","Polk County, AR",".",".",".",".","0.08","0.065",".",".",".","23","9.9",".",".","."
"05119","Pulaski County, AR","1.4","1.1","47","10","0.08","0.07","7","3","2","29","11","61","20","0"
"05139","Union County, AR",".",".",".",".",".",".","20","4","2","20","9.6",".",".","."
"05143","Washington County, AR",".",".",".",".","0.07","0.066",".",".",".","20","9.3",".",".","."
"06001","Alameda County, CA","3.6","2.6","53","17","0.1","0.069","17","3","0","32","12.8",".",".","."
"06005","Amador County, CA",".",".",".",".","0.09","0.066",".",".",".",".",".",".",".","."
"06007","Butte County, CA","2","1.4","40","8","0.09","0.073",".",".",".","30","10.1","51","24","."
"06009","Calaveras County, CA",".",".",".",".","0.08","0.067",".",".",".","24","9.1","39","16","."
"06011","Colusa County, CA",".",".",".",".","0.06","0.056",".",".",".","23","7.2","71","28","."
"06013","Contra Costa County, CA","1.7","1","41","10","0.08","0.065","14","5","1","27","12","45","21","."
"06015","Del Norte County, CA",".",".",".",".",".",".",".",".",".",".",".","36","14","."
"06017","El Dorado County, CA",".",".",".",".","0.09","0.082",".",".",".",".",".",".",".","."
"06019","Fresno County, CA","3.3","2.2","61","14","0.12","0.095","5","2","1","88","34.9","118","63","0.01"
